日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,600036,30.35,31.2,31.44,30.34,826245,3191180656.0,3.68,4.35,1.3,0.4
2020-01-03,600036,31.27,31.72,31.94,31.24,520106,2045230272.0,2.24,1.67,0.52,0.25
2020-01-06,600036,31.51,31.56,32.48,31.22,548877,2171575504.0,3.97,-0.5,-0.16,0.27
2020-01-07,600036,31.87,31.47,32.26,31.42,347671,1369304768.0,2.66,-0.29,-0.09,0.17
2020-01-08,600036,31.27,30.73,31.27,30.73,363234,1403861104.0,1.72,-2.35,-0.74,0.18
2020-01-09,600036,31.16,31.22,31.32,30.9,303360,1177003664.0,1.37,1.59,0.49,0.15
2020-01-10,600036,31.22,31.36,31.6,31.07,285931,1116903168.0,1.7,0.45,0.14,0.14
2020-01-13,600036,31.6,31.42,31.6,31.07,327809,1279073024.0,1.69,0.19,0.06,0.16
2020-01-14,600036,31.46,31.13,31.95,31.02,335646,1314430608.0,2.96,-0.92,-0.29,0.16
2020-01-15,600036,31.16,30.44,31.21,30.34,488599,1870048768.0,2.79,-2.22,-0.69,0.24
2020-01-16,600036,30.54,30.28,30.67,30.08,453848,1723277984.0,1.94,-0.53,-0.16,0.22
2020-01-17,600036,30.38,30.25,30.49,30.0,421357,1595789856.0,1.62,-0.1,-0.03,0.2
2020-01-20,600036,30.54,30.63,30.97,30.32,585809,2244268944.0,2.15,1.26,0.38,0.28
2020-01-21,600036,30.27,30.11,30.47,30.02,417202,1580332560.0,1.47,-1.7,-0.52,0.2
2020-01-22,600036,30.02,30.14,30.42,29.47,531255,2000618544.0,3.16,0.1,0.03,0.26
2020-01-23,600036,29.85,29.13,30.02,28.77,787503,2912304576.0,4.15,-3.35,-1.01,0.38
2020-02-03,600036,26.12,27.35,27.82,26.12,1131062,3944795008.0,5.84,-6.11,-1.78,0.55
2020-02-04,600036,27.36,27.67,27.8,27.0,1229677,4313054464.0,2.93,1.17,0.32,0.6
2020-02-05,600036,27.66,27.68,27.83,27.15,802572,2826862592.0,2.46,0.04,0.01,0.39
2020-02-06,600036,27.82,28.07,28.15,27.45,730702,2589474704.0,2.53,1.41,0.39,0.35
2020-02-07,600036,27.42,27.74,27.78,27.33,675525,2374190016.0,1.6,-1.18,-0.33,0.33
2020-02-10,600036,27.45,27.42,27.56,27.27,575042,2016401936.0,1.05,-1.15,-0.32,0.28
2020-02-11,600036,27.62,27.89,28.17,27.47,557436,1983770032.0,2.55,1.71,0.47,0.27
2020-02-12,600036,27.82,27.92,27.98,27.56,405390,1437178000.0,1.51,0.11,0.03,0.2
2020-02-13,600036,27.85,27.59,27.87,27.52,422351,1493775792.0,1.25,-1.18,-0.33,0.2
2020-02-14,600036,27.53,27.96,28.03,27.53,403397,1431806480.0,1.81,1.34,0.37,0.2
2020-02-17,600036,27.95,28.49,28.49,27.7,669425,2396661840.0,2.83,1.9,0.53,0.32
2020-02-18,600036,28.32,28.02,28.32,27.92,516397,1846260240.0,1.4,-1.65,-0.47,0.25
2020-02-19,600036,27.92,27.85,28.21,27.78,419521,1496142160.0,1.53,-0.61,-0.17,0.2
2020-02-20,600036,27.98,28.3,28.37,27.52,746006,2658121248.0,3.05,1.62,0.45,0.36
2020-02-21,600036,28.22,27.96,28.25,27.79,730315,2603112496.0,1.63,-1.2,-0.34,0.35
2020-02-24,600036,27.81,27.37,28.01,27.35,798565,2812039824.0,2.36,-2.11,-0.59,0.39
2020-02-25,600036,27.13,26.95,27.4,26.82,873734,3032212320.0,2.12,-1.53,-0.42,0.42
2020-02-26,600036,26.73,27.15,27.31,26.57,779705,2707591824.0,2.75,0.74,0.2,0.38
2020-02-27,600036,27.11,27.54,27.67,27.02,689379,2422074080.0,2.39,1.44,0.39,0.33
2020-02-28,600036,27.17,26.52,27.5,26.52,835341,2885398352.0,3.56,-3.7,-1.02,0.4
2020-03-02,600036,26.56,27.07,27.2,26.42,704291,2438029168.0,2.94,2.07,0.55,0.34
2020-03-03,600036,27.25,26.94,27.42,26.74,686073,2380418304.0,2.51,-0.48,-0.13,0.33
2020-03-04,600036,27.0,27.1,27.12,26.76,560886,1941800192.0,1.34,0.59,0.16,0.27
2020-03-05,600036,27.31,28.55,28.64,27.12,1355413,4840609024.0,5.61,5.35,1.45,0.66
2020-03-06,600036,28.16,27.73,28.34,27.73,670674,2389764960.0,2.14,-2.87,-0.82,0.33
